Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
Department of Economic Affairs,International Financial Institutions,International Financial Institutions,-0.40,0.66,0.64,0.66
Department of Economic Affairs,Other General Economic Services,Other General Economic Services,888.92,1389.54,1161.60,1508.11
Department of Economic Affairs,Investments in General Financial and Trading Institutions,Investments in General Financial and Trading Institutions,2041.35,500.03,6666.17,8250.01
Department of Economic Affairs,Investments in International Financial Institutions,Investments in International Financial Institutions,4461.52,3373.24,3337.40,3495.60
Department of Economic Affairs,Capital Outlay on Other General Economic Services,Capital Outlay on Other General Economic Services,...,22079.99,7820.32,44724.65
Department of Economic Affairs,Loans to Agricultural Financial Institutions,Loans to Agricultural Financial Institutions,47.38,48.70,49.07,49.34
Department of Economic Affairs,Loans to General Financial and Trading Institutions,Loans to General Financial and Trading Institutions,40.20,40.74,35.37,34.34
Department of Economic Affairs,Loans to International Financial Institutions,Loans to International Financial Institutions,...,...,55.46,55.46
Department of Economic Affairs,Loans for Other General Economic Services,Loans for Other General Economic Services,...,...,...,...
Department of Economic Affairs,Technical and Economic Co-operation with Other Countries,Technical and Economic Co-operation with Other Countries,1233.63,871.13,2701.48,2089.55
Department of Economic Affairs,Advances to Foreign Governments,Advances to Foreign Governments,...,...,...,...
Department of Economic Affairs,"Loans to Government Servants, etc.","Loans to Government Servants, etc.",23.70,-25.00,-25.00,-25.00
Department of Economic Affairs,Appropriation to the Contingency Fund,Appropriation to the Contingency Fund,...,...,...,...
Department of Empowerment of Persons with Disabilities,Secretariat,Secretariat,25.05,29.86,27.36,34.06
Department of Empowerment of Persons with Disabilities,Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances,Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances,213.83,230.00,195.00,220.00
Department of Empowerment of Persons with Disabilities,Information and Mass Education Cell,Information and Mass Education Cell,6.63,...,...,...
Department of Empowerment of Persons with Disabilities,Deendayal Disabled Rehabilitation Scheme,Deendayal Disabled Rehabilitation Scheme,101.61,130.00,85.00,125.00
Department of Empowerment of Persons with Disabilities,Support to Establishment/Modernization/Capacity augmentation of Braille Presses,Support to Establishment/Modernization/Capacity augmentation of Braille Presses,0.87,...,...,...
Department of Empowerment of Persons with Disabilities,Support of National Trust,Support of National Trust,20.00,39.50,30.00,30.00
Department of Empowerment of Persons with Disabilities,Indian Spinal Injury Centre,Indian Spinal Injury Centre,...,4.00,4.00,...
Department of Empowerment of Persons with Disabilities,Scheme for implementation of Persons with Disability Act,Scheme for implementation of Persons with Disability Act,217.34,251.50,122.89,209.77
Department of Empowerment of Persons with Disabilities,Scholarship for Students with Disabilities,Scholarship for Students with Disabilities,95.15,125.00,100.00,125.00
Department of Empowerment of Persons with Disabilities,National University of Rehabilitation Science and Disability Studies,National University of Rehabilitation Science and Disability Studies,...,0.01,...,0.01
Department of Empowerment of Persons with Disabilities,Rehabilitation Council of India,Rehabilitation Council of India,5.00,5.50,5.50,5.50
Department of Empowerment of Persons with Disabilities,"Indian Sign Language, Research and Training Centre","Indian Sign Language, Research and Training Centre",4.20,...,...,...
Department of Empowerment of Persons with Disabilities,Centre for Disability Sports,Centre for Disability Sports,15.07,100.00,19.50,53.41
Department of Empowerment of Persons with Disabilities,National Institute for Inclusive and Universal Design,National Institute for Inclusive and Universal Design,...,0.01,...,0.01
Department of Empowerment of Persons with Disabilities,National Institute of Mental Health Rehabilitation,National Institute of Mental Health Rehabilitation,17.26,...,...,...
Department of Empowerment of Persons with Disabilities,Support to National Institutes,Support to National Institutes,233.25,360.00,260.75,319.00
Department of Empowerment of Persons with Disabilities,National Handicapped Finance and Development Corporation,National Handicapped Finance and Development Corporation,0.92,0.01,...,0.01
Department of Empowerment of Persons with Disabilities,Artificial Limbs Manufacturing Corporation of India,Artificial Limbs Manufacturing Corporation of India,60.00,50.00,50.00,50.00
Department of Empowerment of Persons with Disabilities,Actual Recoveries,Actual Recoveries,-3.85,...,...,...
Department of Empowerment of Persons with Disabilities,Social Security and Welfare,Social Security and Welfare,847.94,1126.79,761.16,988.59
Department of Empowerment of Persons with Disabilities,Secretariat-Social Services,Secretariat-Social Services,22.43,25.00,23.50,29.00
Department of Empowerment of Persons with Disabilities,Capital Outlay on Social Security and Welfare,Capital Outlay on Social Security and Welfare,0.92,0.01,...,0.01
Department of Empowerment of Persons with Disabilities,North Eastern Areas,North Eastern Areas,...,80.00,55.32,70.98
Department of Empowerment of Persons with Disabilities,Grants-in-aid to State Governments,Grants-in-aid to State Governments,140.74,93.56,59.99,83.16
Department of Empowerment of Persons with Disabilities,Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,0.30,0.03,0.03,0.03
Department of Empowerment of Persons with Disabilities,Capital Outlay on North Eastern Areas,Capital Outlay on North Eastern Areas,...,...,...,...
Department of Expenditure,Secretariat General Services,Secretariat General Services,128.98,472.64,352.73,391.92
Department of Expenditure,Institute of Government Accounts and Finance,Institute of Government Accounts and Finance,6.14,8.20,8.80,8.00
Department of Expenditure,NSDL Charges for New Pension Scheme,NSDL Charges for New Pension Scheme,30.22,35.50,32.00,33.00
Department of Expenditure,Actual Recoveries,Actual Recoveries,-0.02,...,...,...
Department of Expenditure,Public Financial Management System (PFMS),Public Financial Management System (PFMS),234.41,...,...,...
Department of Expenditure,National Institute of Financial Management,National Institute of Financial Management,13.98,19.21,12.61,21.82
Department of Expenditure,Secretariat-General Services,Secretariat-General Services,128.96,472.64,352.73,391.92
Department of Expenditure,Other Administrative Services,Other Administrative Services,50.34,62.91,53.41,62.82
Department of Expenditure,Other General Economic Services,Other General Economic Services,234.41,...,...,...
Department of Fertilisers,Secretariat,Secretariat,32.75,35.94,32.16,37.08
Department of Fertilisers,Urea Subsidy,Payment for Indigenous Urea,43050.00,38375.00,74487.80,43236.28
Department of Fertilisers,Urea Subsidy,Payment for Import of Urea,14049.00,12050.00,25049.62,19550.00
Department of Fertilisers,Urea Subsidy,Direct Benefit Transfer(DBT) in Fertiliser Subsidy,6.67,10.00,10.00,11.40
Department of Fertilisers,Urea Subsidy,Recovery,-2350.19,-2630.00,-4590.00,-4030.00
Department of Fertilisers,Nutrient Based Subsidy,Payment for Indigenous P and K Fertilizers,15906.00,14179.00,23901.53,12460.00
Department of Fertilisers,Nutrient Based Subsidy,Payment for Imported P and K Fertilizers,10429.00,9296.00,15015.37,8260.00
Department of Fertilisers,Nutrient Based Subsidy,Payment for City Compost,33.85,29.00,72.98,42.00
Department of Fertilisers,Assistance to PSUs,Assistance to PSUs,...,0.06,813.24,444.63
Department of Fertilisers,Recovery,Recovery,-12.83,...,...,...
Department of Fertilisers,Crop Husbandry,Crop Husbandry,26356.02,23504.00,38989.88,20762.00
Department of Fertilisers,Industries,Industries,54755.48,47805.00,94957.42,58767.68
Department of Fertilisers,Secretariat-Economic Services,Secretariat-Economic Services,32.75,35.94,32.16,37.08
Department of Fertilisers,Other General Economic Services,Other General Economic Services,...,0.01,...,0.01
Department of Fertilisers,Loans for Fertilizer Industries,Loans for Fertilizer Industries,...,0.05,813.24,444.62
Department of Financial Services,Secretariat- General Services,Secretariat- General Services,59.63,69.99,58.15,58.84
Department of Financial Services,Direction and Administration,Office of Special Court,2.65,3.72,2.86,3.05
Department of Financial Services,Direction and Administration,Office of Custodian,7.64,10.23,8.42,8.61
Department of Financial Services,Direction and Administration,Debt Recovery Tribunals (DRTs),124.21,142.00,142.40,141.34
Department of Financial Services,Direction and Administration,Office of Court Liquidator,0.11,0.13,0.07,0.03
Department of Financial Services,Recapitalization of Public Sector Banks,Recapitalization of Public Sector Banks,...,0.01,0.01,0.01
Department of Financial Services,Re-capitalization of Public Sector Banks (through Bonds),Gross Budgetary Support,65443.00,0.01,20000.00,20000.00
Department of Financial Services,Re-capitalization of Public Sector Banks (through Bonds),Less met through issue of Special Securities to PSBs,-65443.00,-0.01,-20000.00,-20000.00
Department of Financial Services,Recapitalization Bonds-Other than Public Sector Banks,Gross Budgetary Support(IDBI Bank Ltd.),4557.00,...,...,...
Department of Financial Services,Recapitalization Bonds-Other than Public Sector Banks,Less met through issue of special securities,-4557.00,...,...,...
Department of Financial Services,Subscription to the Share Capital of Export-Import Bank of India,Subscription to the Share Capital of Export-Import Bank of India,950.00,1300.00,1300.00,1500.00
Department of Financial Services,Re-capitalization of EXIM Bank (through Bonds),Gross Budgetary Support,550.00,...,...,...
Department of Financial Services,Re-capitalization of EXIM Bank (through Bonds),Less met through issue of Special Securities,-550.00,...,...,...
Department of Financial Services,Re-capitalization of Insurance Companies,Transfer to National Investment Fund,...,6950.00,5000.00,...
Department of Financial Services,Re-capitalization of Insurance Companies,Gross Budgetary Support,2500.00,6950.00,9950.00,...
Department of Financial Services,Re-capitalization of Insurance Companies,Amount met from National Investment Fund,...,-6950.00,-5000.00,...
Department of Financial Services,Subscription to Share Capital of National Bank for Agricultural and Rural Development (NABARD),Transfer to National Investment Fund,...,1000.00,1000.00,2000.00
Department of Financial Services,Subscription to Share Capital of National Bank for Agricultural and Rural Development (NABARD),Gross Budgetary Support,1500.00,1000.00,1000.00,2000.00
Department of Financial Services,Subscription to Share Capital of National Bank for Agricultural and Rural Development (NABARD),Amount met from National Investment Fund,...,-1000.00,-1000.00,-2000.00
Department of Financial Services,Recapitalization of Regional Rural Banks (RRBs),Recapitalization of Regional Rural Banks (RRBs),700.51,200.01,200.00,1200.00
Department of Financial Services,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank),Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank),-0.03,0.01,...,...
Department of Financial Services,Equity support to India Infrastructure Finance Company Limited (IIFCL),Equity support to India Infrastructure Finance Company Limited (IIFCL),500.00,...,...,...
Department of Financial Services,Equity support to IIFCL(through bonds),Gross Budgetary Support,5297.60,10000.00,...,0.01
Department of Financial Services,Equity support to IIFCL(through bonds),Less met through issue of securities,-5297.60,-10000.00,...,-0.01
Department of Financial Services,Equity Support to Industrial Finance Corporation of India (IFCI),Equity Support to Industrial Finance Corporation of India (IFCI),200.00,200.00,200.00,100.00
Department of Financial Services,Grants to ICICI Bank for Externally Aided Components,Grants to ICICI Bank for Externally Aided Components,...,0.01,...,0.01
Department of Financial Services,Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System,Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System,...,20.00,20.00,10.00
Department of Financial Services,Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI,Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI,0.85,0.86,0.85,0.84
Department of Financial Services,Subsidy to National Housing Bank for Interest Subvention on Housing Loans,Subsidy to National Housing Bank for Interest Subvention on Housing Loans,...,0.01,...,0.01
Department of Financial Services,World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India,World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India,...,0.01,...,0.01
Department of Financial Services,Redemption of Securities issued to Stressed Assets Stablization Fund (SASF),Gross Budgetary Support,210.00,0.01,125.00,0.01
Department of Financial Services,Redemption of Securities issued to Stressed Assets Stablization Fund (SASF),Less - Realisation of Stressed Assets Stabilization Fund,-210.00,-0.01,-125.00,-0.01
Department of Financial Services,Support to Pradhan Mantri Jan Dhan Bima Yojana (PMJDBY),Support to Pradhan Mantri Jan Dhan Bima Yojana (PMJDBY),...,0.01,...,0.01
Department of Financial Services,Government Co-contribution to Atal Pension Yojana,Government Co-contribution to Atal Pension Yojana,338.69,299.00,273.00,153.00
Department of Financial Services,Interest Subsidy to LIC for Pension Plan for Senior Citizens,Interest Subsidy to LIC for Pension Plan for Senior Citizens,117.01,115.10,45.05,65.00
Department of Financial Services,Pradhan Mantri Jeevan Jyoti Bima Yojana and Pradhan Mantri Suraksha Bima Yojana (Publicity and Awareness),Pradhan Mantri Jeevan Jyoti Bima Yojana and Pradhan Mantri Suraksha Bima Yojana (Publicity and Awareness),...,10.00,5.00,5.00
Department of Financial Services,Pradhan Mantri Vaya Vandan Yojana (PMVVY),Pradhan Mantri Vaya Vandan Yojana (PMVVY),135.66,180.00,152.77,345.02
Department of Financial Services,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC),Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC),...,500.00,500.00,2500.00
Department of Financial Services,Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.,Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.,10.00,10.00,10.00,5.00
Department of Financial Services,Stand-Up India (through NCGTC),Stand-Up India (through NCGTC),...,100.00,100.00,100.00
Department of Financial Services,Publicity and awareness for Stand-Up India and other initiatives by SIDBI,Publicity and awareness for Stand-Up India and other initiatives by SIDBI,5.00,5.00,5.00,5.00
Department of Financial Services,Credit Guarantee Fund for Factoring (through NCGTC),Credit Guarantee Fund for Factoring (through NCGTC),...,0.01,...,0.01
Department of Financial Services,Assistance to National Credit Guarantee Trustee Company limited (NCGTC) for the Guarantee Emergency Credit Line (GECL) facility to Eligible MSME borrowers,Assistance to National Credit Guarantee Trustee Company limited (NCGTC) for the Guarantee Emergency Credit Line (GECL) facility to Eligible MSME borrowers,...,...,4000.00,...
Department of Financial Services,Loans for Settlement of claims on invoking guarantee given by government under Partial Credit Guarantee Scheme (PCGS),Loans for Settlement of claims on invoking guarantee given by government under Partial Credit Guarantee Scheme (PCGS),...,...,500.00,1000.00
Department of Financial Services,Loans for settlement of claims on invoking guarantee given by Government under Special Liquidity scheme (SLS),Loans for settlement of claims on invoking guarantee given by Government under Special Liquidity scheme (SLS),...,...,500.00,...
Department of Financial Services,Subsidy to small Industries Development Bank of India (SIDBI) on Interest Subvention of 2 percent for prompt repayment of Shishu Loans (subsidies),Subsidy to small Industries Development Bank of India (SIDBI) on Interest Subvention of 2 percent for prompt repayment of Shishu Loans (subsidies),...,...,1232.00,310.00
Department of Financial Services,Capital Support to National Bank for Financing Infrastructure and Development (Nab FID),Capital Support to National Bank for Financing Infrastructure and Development (Nab FID),...,...,...,20000.00
Department of Financial Services,Compounded interest support scheme for loam moratorium,Compounded interest support scheme for loam moratorium,...,...,5500.00,...
Department of Financial Services,Pension Fund Regulatory and Development Authority (PFRDA),Pension Fund Regulatory and Development Authority (PFRDA),23.80,8.89,...,...
Department of Financial Services,Other Fiscal Services,Other Fiscal Services,10.28,13.95,11.28,11.66
Department of Financial Services,Secretariat-General Services,Secretariat-General Services,59.63,69.99,58.15,58.84
Department of Financial Services,Other Administrative Services,Other Administrative Services,148.01,150.89,142.40,141.34
Department of Financial Services,Social Security and Welfare,Social Security and Welfare,590.43,604.11,475.82,568.03
Department of Financial Services,Agricultural Financial Institutions,Agricultural Financial Institutions,0.85,20.86,20.85,10.84
Department of Financial Services,Other Outlays on Industries and Minerals,Other Outlays on Industries and Minerals,...,0.02,1232.00,310.02
Department of Financial Services,General Financial and Trading Institutions,General Financial and Trading Institutions,15.00,615.01,10115.00,2610.01
Department of Financial Services,Other General Economic Services,Other General Economic Services,0.11,0.13,0.07,0.03
Department of Financial Services,Investments in Agricultural Financial Institutions,Investments in Agricultural Financial Institutions,2200.51,1200.01,1200.00,3200.00
Department of Financial Services,Other Capital Outlay on Industries and Minerals,Other Capital Outlay on Industries and Minerals,1650.00,1500.00,1500.00,1600.00
Department of Financial Services,Investments in General Financial and Trading Institutions,Investments in General Financial and Trading Institutions,2499.97,6950.02,9950.01,20000.01
Department of Financial Services,Other Loans to Industries and Minerals,Other Loans to Industries and Minerals,...,0.01,...,0.01
Department of Financial Services,Loans to General Financial and Trading Institutions,Loans to General Financial and Trading Institutions,...,...,1000.00,1000.00
Department of Fisheries,Secretariat,Establishment Expenditure,11.23,21.80,18.00,26.03
Department of Fisheries,Secretariat,International Cooperation,...,2.20,4.00,2.20
Department of Fisheries,Fisheries Institute,Fisheries Institute,125.36,149.00,143.14,149.77
Department of Fisheries,Coastal Aquaculture Authority,Coastal Aquaculture Authority,4.50,4.50,3.00,4.00
Department of Fisheries,National Fisheries Development Board,National Fisheries Development Board,80.75,77.50,32.28,23.84
Department of Fisheries,Integrated Development and Management of Fisheries,Integrated Development and Management of Fisheries,441.79,560.00,...,...
Department of Fisheries,Fisheries and Aquaculture Infrastructure Development Fund,Fisheries and Aquaculture Infrastructure Development Fund,...,10.00,10.00,15.00
Department of Fisheries,Pradhan Mantri Matsya Sampada Yojana ( PMMSY),Pradhan Mantri Matsya Sampada Yojana ( PMMSY),...,...,700.00,1000.00
Department of Fisheries,Actual Recoveries,Actual Recoveries,-12.84,...,...,...
Department of Fisheries,Fisheries,Fisheries,211.13,218.40,277.54,400.41
Department of Fisheries,Secretariat-Economic Services,Secretariat-Economic Services,11.23,24.00,22.00,28.23
Department of Fisheries,Capital Outlay on Fisheries,Capital Outlay on Fisheries,3.45,19.16,12.61,28.68
Department of Fisheries,North Eastern Areas,North Eastern Areas,...,64.94,83.20,107.52
Department of Fisheries,Grants-in-aid to State Governments,Grants-in-aid to State Governments,413.36,451.50,461.65,601.00
Department of Fisheries,Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,11.62,47.00,53.42,55.00
Department of Food and Public Distribution,Secretariat,Secretariat,65.25,71.46,70.70,73.91
Department of Food and Public Distribution,"National Sugar Institute, Kanpur","National Sugar Institute, Kanpur",25.55,29.53,25.02,28.38
Department of Food and Public Distribution,"Other Establishment Expenditure of Food, Storage and Warehousing","Other Establishment Expenditure of Food, Storage and Warehousing",16.26,20.16,19.50,21.01
Department of Food and Public Distribution,Central Vigilance Committee on Public Distribution System,Central Vigilance Committee on Public Distribution System,...,...,...,...
Department of Food and Public Distribution,Food Subsidy to Food Corporation of India under National Food Security Act.,Food Subsidy to Food Corporation of India under National Food Security Act.,75000.00,77982.54,344077.00,202616.00
Department of Food and Public Distribution,Food Subsidy for Decentralized Procurement of Food grains under NFSA,Food Subsidy for Decentralized Procurement of Food grains under NFSA,33508.35,37337.14,78337.77,40000.00
Department of Food and Public Distribution,Sugar Subsidy payable under Public Distribution System,Sugar Subsidy payable under Public Distribution System,180.00,250.00,203.37,220.00
Department of Food and Public Distribution,Ways and Means Advance to FCI,Ways and Means Advance to FCI,...,50000.00,10000.00,50000.00
Department of Food and Public Distribution,Ways and Means Advance to FCI,Repayments of Ways and Means Advance by FCI,...,-50000.00,-10000.00,-50000.00
Department of Food and Public Distribution,Assistance to State Agencies for intra-state movement of food grains and FPS dealers margin under NFSA,Assistance to State Agencies for intra-state movement of food grains and FPS dealers margin under NFSA,1678.78,3982.54,8000.00,4000.00
Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2017-18 season,Scheme for Assistance to Sugar Mills for 2017-18 season,54.59,...,10.00,...
Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2018-19 season,Scheme for Assistance to Sugar Mills for 2018-19 season,2000.00,200.00,1163.00,200.00
Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar,Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar,99.97,200.00,500.00,600.00
Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of Sugar,Scheme for Creation and Maintenance of Buffer Stock of Sugar,430.08,...,150.00,50.00
Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2019-20 season,Scheme for Assistance to Sugar Mills for 2019-20 season,100.00,500.00,3900.00,1000.00
Department of Food and Public Distribution,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,50.00,50.00,150.00,300.00
Department of Food and Public Distribution,"Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export","Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export",550.00,200.00,350.00,...
Department of Food and Public Distribution,Scheme for Extending Soft Loan to Sugar Mills,Scheme for Extending Soft Loan to Sugar Mills,100.00,120.00,418.00,...
Department of Food and Public Distribution,Re-imbursement of Internal Transport and Freight Charges to Sugar Factories on export shipment of Sugar and payment of other permissible claims,Re-imbursement of Internal Transport and Freight Charges to Sugar Factories on export shipment of Sugar and payment of other permissible claims,0.63,...,0.36,...
Department of Food and Public Distribution,Schemes for Development of Sugar Industries,Financial Assistance to Sugar Undertakings/Other Expenditure,21.00,22.00,30.00,22.00
Department of Food and Public Distribution,Schemes for Development of Sugar Industries,Loans for Rehabilitation/ Modernization of Sugar Mills,10.00,20.00,20.00,10.00
Department of Food and Public Distribution,Schemes for Development of Sugar Industries,Loans to Sugar Mills for Cane Development,...,5.00,1.40,5.00
Department of Food and Public Distribution,Schemes for Development of Sugar Industries,Loans to Sugar Mills for Bagasse based Co-generation of Power Project,43.59,75.00,75.00,70.00
Department of Food and Public Distribution,Schemes for Development of Sugar Industries,Loans to Sugar Factories for production of Anhydrous Alcohol or Ethanol from Alcohol,135.00,50.00,50.00,80.00
Department of Food and Public Distribution,Strengthening of PDS Operations,Strengthening of PDS Operations,9.02,8.70,8.06,8.17
Department of Food and Public Distribution,Integrated Management of Public Distribution System,Integrated Management of Public Distribution System,20.21,25.00,25.00,25.00
Department of Food and Public Distribution,Storage and Godowns,Storage and Godowns,62.58,50.00,44.00,60.00
Department of Food and Public Distribution,Actual Recoveries,Actual Recoveries,-1.74,...,...,...
Department of Food and Public Distribution,Warehousing Development and Regulatory Authority,Warehousing Development and Regulatory Authority,12.80,16.36,11.54,14.83
Department of Food and Public Distribution,Hindustan Vegetable Oils Corporation Ltd.,Assistance to HVOC,0.60,...,...,...
Department of Food and Public Distribution,Investment in Equity Capital of Food Corporation of India,Investment in Equity Capital of Food Corporation of India,1000.00,1000.00,1000.00,2500.00
Department of Food and Public Distribution,Fortification of Rice and its Distribution under Public Distribution System,Fortification of Rice and its Distribution under Public Distribution System,...,20.00,9.00,70.00
Department of Food and Public Distribution,Food Storage and Warehousing,Food Storage and Warehousing,113865.46,120935.26,437373.78,250696.74
Department of Food and Public Distribution,Secretariat-Economic Services,Secretariat-Economic Services,65.02,71.46,70.70,73.91
Department of Food and Public Distribution,Civil Supplies,Civil Supplies,...,...,...,...
Department of Food and Public Distribution,Capital Outlay on Food Storage and Warehousing,Capital Outlay on Food Storage and Warehousing,1054.52,1022.02,1019.32,2520.75
Department of Food and Public Distribution,"Loans for Food, Storage and Warehousing","Loans for Food, Storage and Warehousing",...,...,...,...
Department of Food and Public Distribution,Loans for Consumer Industries,Loans for Consumer Industries,188.59,150.00,146.40,165.00
Department of Food and Public Distribution,North Eastern Areas,North Eastern Areas,...,11.90,5.90,408.19
Department of Food and Public Distribution,Grants-in-aid to State Governments,Grants-in-aid to State Governments,-1.07,19.79,7.62,69.50
Department of Food and Public Distribution,Capital Outlay on North Eastern Areas,Capital Outlay on North Eastern Areas,...,25.00,25.00,40.21
Department of Health and Family Welfare,Secretariat,Secretariat,189.20,205.00,202.49,228.87
Department of Health and Family Welfare,Direction and Administration,Direction and Administration,57.55,61.62,62.42,68.71
Department of Health and Family Welfare,Central Government Health Scheme,Central Government Health Scheme,1348.97,1297.52,1539.62,1769.95
Department of Health and Family Welfare,"Safdarjung Hospital and Vardhman Mahavir Medical College, New Delhi","Safdarjung Hospital and Vardhman Mahavir Medical College, New Delhi",1366.41,1318.86,1683.18,1545.78
Department of Health and Family Welfare,"Dr. Ram Manohar Lohia Hospital and Dr. RML PGIMER, New Delhi","Dr. Ram Manohar Lohia Hospital and Dr. RML PGIMER, New Delhi",782.53,885.60,868.35,950.10
Department of Health and Family Welfare,Lady Hardinge Medical College and Smt. S.K. Hospitals,Lady Hardinge Medical College and Smt. S.K. Hospitals,482.84,502.44,656.50,600.79
Department of Health and Family Welfare,"Kalawati Saran Children's Hospital, New Delhi","Kalawati Saran Children's Hospital, New Delhi",121.40,136.75,142.12,149.92
Department of Health and Family Welfare,Other Hospitals / Institutions,Other Hospitals / Institutions,759.40,811.42,794.90,931.68
Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,Support from Gross Budgetary Support (GBS),173.90,1620.00,4657.25,2850.00
Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,Central Roads & Infrastructure Fund (CRIF),3789.38,3000.00,1460.00,3480.00
Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,Repayment of Principal from HEFA Loan,623.20,1050.00,1050.00,420.00
Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,Payment of Interest on HEFA Loan,97.00,350.00,350.00,250.00
Department of Health and Family Welfare,National AIDS and STD Control Programme,National AIDS and STD Control Programme,2813.08,2900.00,2900.00,2900.00
Department of Health and Family Welfare,Family Welfare Schemes,Family Welfare Schemes,489.41,600.00,495.69,387.15
Department of Health and Family Welfare,Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectorial co ordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance,Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectorial co ordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance,23.03,52.00,41.60,61.44
Department of Health and Family Welfare,National Pharmacovigilance Programme,National Pharmacovigilance Programme,7.79,10.00,8.01,10.00
Department of Health and Family Welfare,Development of Nursing Services,Development of Nursing Services,39.78,16.00,14.68,17.54
Department of Health and Family Welfare,Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services,Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services,206.27,130.00,37.38,130.00
Department of Health and Family Welfare,National Organ Transplant Programme,National Organ Transplant Programme,12.50,33.00,6.00,30.50
Department of Health and Family Welfare,Impacting Research Innovation and Technology (IMPRINT) Scheme,Impacting Research Innovation and Technology (IMPRINT) Scheme,7.42,...,...,...
Department of Health and Family Welfare,"COVID -19 Emergency Response and Health System Preparedness
Package - EAC","National Institute of Communicable Disease
(NCDC) Delhi",...,...,95.00,...
Department of Health and Family Welfare,"COVID -19 Emergency Response and Health System Preparedness
Package - EAC","Central Procurement of Supplies and
Material for COVID - 19",...,...,4724.00,...
Department of Health and Family Welfare,"COVID -19 Emergency Response and Health System Preparedness
Package - EAC",National Rural Health Mission (NRHM),...,...,6937.96,...
Department of Health and Family Welfare,"Covid 19 vaccination for health care worker and front
line workers - NHM",Covid 19 vaccination for health care worker and front line workers - NHM,...,...,360.00,...
Department of Health and Family Welfare,National Digital Health Mission - NHM,National Digital Health Mission - NHM,...,...,30.00,30.00
Department of Health and Family Welfare,Food Safety and Standards Authority of India,Food Safety and Standards Authority of India,301.22,283.71,239.12,288.35
Department of Health and Family Welfare,Indian Pharmacopeia Commission,Indian Pharmacopeia Commission,24.29,21.85,20.35,23.95
Department of Health and Family Welfare,Medical Council of India,Medical Council of India,1.00,0.89,0.50,0.98
Department of Health and Family Welfare,Dental Council of India,Dental Council of India,0.40,0.38,0.38,0.38
Department of Health and Family Welfare,Pharmacy Council of India,Pharmacy Council of India,0.20,0.18,0.18,0.20
Department of Health and Family Welfare,Indian Nursing Council,Indian Nursing Council,0.21,0.19,0.19,0.19
Department of Health and Family Welfare,National Academy of Medical Sciences,National Academy of Medical Sciences,1.80,1.60,1.60,1.60
Department of Health and Family Welfare,National Board of Examinations,National Board of Examinations,...,0.01,0.01,0.01
Department of Health and Family Welfare,All Indian Institute of Medical Science,Support from Gross Budgetary Support (GBS),3255.09,2135.95,3392.86,7.00
Department of Health and Family Welfare,All Indian Institute of Medical Science,Support from National Investment Fund (NIF),43.00,1256.91,...,3695.90
Department of Health and Family Welfare,All Indian Institute of Medical Science,Payment of Interest on HEFA Loan,44.60,44.60,44.60,44.60
